"state","category","log_or_high","log_or_low","disparity_spread"
"Alabama","dismissed",1.00692382972793,-0.965618584376346,1.97254241410427
"Alabama","moved_out",1.02565730617066,-0.46909190245067,1.49474920862133
"Alabama","not_determined",0.398786851499821,-0.347852324100714,0.746639175600535
"Alabama","not_eligible",0.353863287185941,-0.177895802781802,0.531759089967743
"Alabama","part_b_eligible",0.117523942921853,-0.122665341940022,0.240189284861875
"Alabama","withdrawn",0.353063251495178,-0.374930984508735,0.727994236003912
"Alaska","dismissed",0.742267665143179,-0.521847239758701,1.26411490490188
"Alaska","moved_out",0.670820091582062,-1.3942121211402,2.06503221272226
"Alaska","not_determined",0.49667640727312,-0.485716538279427,0.982392945552547
"Alaska","not_eligible",0.119328769918175,-1.00528896872664,1.12461773864481
"Alaska","part_b_eligible",0.308702086719741,-0.088338498076481,0.397040584796222
"Alaska","withdrawn",0.528905070835083,-0.399432057463718,0.9283371282988
"American Samoa","not_eligible",0.205443974214809,-0.205443974214809,0.410887948429618
"American Samoa","part_b_eligible",0.500917545541294,-0.500917545541295,1.00183509108259
"Arizona","dismissed",0.525137467539913,-0.67503049236024,1.20016795990015
"Arizona","moved_out",0.693209167303657,-0.715620120001117,1.40882928730477
"Arizona","not_determined",0.177649003478993,-0.252298014235431,0.429947017714424
"Arizona","not_eligible",0.110781382397283,-0.233483841315484,0.344265223712767
"Arizona","part_b_eligible",0.126660191281994,-0.0959227458512471,0.222582937133241
"Arizona","withdrawn",0.200566546954911,-0.334023492550266,0.534590039505177
"Arkansas","dismissed",0.611112544775876,-0.40580410106854,1.01691664584442
"Arkansas","moved_out",1.3446012432073,-0.261045928781431,1.60564717198873
"Arkansas","not_determined",0.223130433256806,-0.481765001700062,0.704895434956868
"Arkansas","not_eligible",0.416228976596194,-0.549155369046545,0.965384345642739
"Arkansas","part_b_eligible",0.404049839831019,-0.695073833382923,1.09912367321394
"Arkansas","withdrawn",0.589847659309322,-0.466286026861284,1.05613368617061
"California","dismissed",0.457626497624995,-0.620567102442577,1.07819360006757
"California","moved_out",0.896283844815823,-0.937199587371513,1.83348343218734
"California","not_determined",0.137953685280541,-0.367958694433993,0.505912379714534
"California","not_eligible",0.129879216306731,-0.10625484509596,0.23613406140269
"California","part_b_eligible",0.335370358802596,-0.166549726626826,0.501920085429422
"California","withdrawn",0.199540954491169,-0.19854289034497,0.398083844836139
"Colorado","dismissed",0.740701129991117,-0.842731162602067,1.58343229259318
"Colorado","moved_out",0.714831381985602,-0.602928398050781,1.31775978003638
"Colorado","not_determined",0.170289121317372,-0.161745505651791,0.332034626969163
"Colorado","not_eligible",0.483622237566136,-0.549342352634957,1.03296459020109
"Colorado","part_b_eligible",0.296480718039825,-0.202748227979019,0.499228946018844
"Colorado","withdrawn",0.160043302827475,-0.24449828839656,0.404541591224034
"Connecticut","dismissed",0.628572297667664,-0.967647180206898,1.59621947787456
"Connecticut","moved_out",1.01785505264251,-0.36550973103057,1.38336478367308
"Connecticut","not_determined",0.304482763643603,-0.502346600125642,0.806829363769245
"Connecticut","not_eligible",0.250914279083675,-0.331079612322545,0.58199389140622
"Connecticut","part_b_eligible",0.215126728187818,-0.0683007871807869,0.283427515368605
"Connecticut","withdrawn",0.327594974885481,-0.334025672708032,0.661620647593513
"Delaware","dismissed",0.588709590806763,-0.523137976281015,1.11184756708778
"Delaware","moved_out",1.09541650427499,-0.308646699299486,1.40406320357448
"Delaware","not_determined",0.359784592968496,-0.363036304238028,0.722820897206524
"Delaware","not_eligible",0.550674299428606,-0.462141373863315,1.01281567329192
"Delaware","part_b_eligible",1.00021899838627,-0.45334004850056,1.45355904688683
"Delaware","withdrawn",0.190504770485224,-0.161187086653838,0.351691857139062
"District of Columbia","dismissed",1.49408362660028,-1.50974556746033,3.00382919406061
"District of Columbia","moved_out",0.944473693309621,-1.07133761118645,2.01581130449607
"District of Columbia","not_determined",0.707441416604181,-1.31733301101232,2.0247744276165
"District of Columbia","not_eligible",0.999983644573952,-0.775970803844526,1.77595444841848
"District of Columbia","part_b_eligible",0.562495400070361,-1.58156946691424,2.1440648669846
"District of Columbia","withdrawn",0.55652715411438,-0.452164327184243,1.00869148129862
"Florida","dismissed",0.736485770643435,-0.593999269663351,1.33048504030679
"Florida","moved_out",0.705305326465483,-0.467939198183198,1.17324452464868
"Florida","not_determined",0.342026264863876,-0.643796445424872,0.985822710288748
"Florida","not_eligible",2.07201080847183,-0.363083012647039,2.43509382111887
"Florida","part_b_eligible",0.107063299192581,-0.927397517926082,1.03446081711866
"Florida","withdrawn",0.221045559016796,-0.864891178183187,1.08593673719998
"Georgia","dismissed",0.503191601938564,-0.350376828613685,0.853568430552249
"Georgia","moved_out",0.401879140751214,-0.391123104437301,0.793002245188514
"Georgia","not_determined",0.311282651204674,-0.56384787669843,0.875130527903104
"Georgia","not_eligible",0.167899095566714,-0.196205089428033,0.364104184994747
"Georgia","part_b_eligible",0.25741037360998,-0.250382898041897,0.507793271651877
"Georgia","withdrawn",0.462168204281443,-0.61204850921321,1.07421671349465
"Guam","dismissed",1.23187793587518,-0.920765012269076,2.15264294814425
"Guam","moved_out",0.638456064083823,-0.708373627891237,1.34682969197506
"Guam","not_determined",0.397330257901889,-0.42782951630488,0.825159774206769
"Guam","not_eligible",0.225088310277782,-0.246361929234307,0.471450239512088
"Guam","part_b_eligible",0.323667766707787,-0.308635863755311,0.632303630463097
"Guam","withdrawn",0.120050073659753,-0.270732514138008,0.39078258779776
"Hawaii","dismissed",1.13537271656191,-0.98970891645282,2.12508163301473
